record_index,IF_anomaly,LOF_anomaly,DBSCAN_anomaly,IF_score,LOF_score,ensemble_votes,ensemble_score,ensemble_majority,ensemble_unanimous,is_critical_error,is_high_frequency,is_rare_operation,is_night_hours,original_index,log_type,wf_principal_id,app_id,atype,browser,browser_version,device_os,device_os_version,uatype,asn,isp,country,frequency,log_timestamp,error_status,normalized_user_agent,operation,rw
8064,0,1,1,-0.5624387722546791,-586.8294482271667,2,0.8256913404599497,1,0,0,0,0,0,0,ms_graph,,d60c33e1-c026-4f42-a243-213222885d01,app,,,,,0,8075.0,Microsoft Limited,,1,2025-12-07 20:59:01.178157,1,,domains,read
12061,1,1,0,-0.6505301572592495,-2.802150290637525,2,0.5016127878194646,1,0,1,0,0,0,1,ms_signin,user15,d60c33e1-c026-4f42-a243-213222885d01,app,,,,,0,20115.0,,US,1,2025-12-07 20:50:59.738144,0,,,
8302,1,1,1,-0.6388073692174315,-17.80891188894684,3,0.4912228227345914,1,1,1,0,0,0,2,ms_graph,,d60c33e1-c026-4f42-a243-213222885d01,app,,,,,0,8075.0,Microsoft Limited,,1,2025-12-07 20:50:59.738144,1,,domains,read
2193,1,1,0,-0.6447175360296019,-2.016985149720896,2,0.4894411758705812,1,0,1,0,0,0,3,ms_graph,,d60c33e1-c026-4f42-a243-213222885d01,app,,,,,0,8075.0,Microsoft Limited,,1,2025-12-07 20:50:59.738144,1,,organization,read
3209,1,1,0,-0.6438433555218215,-1.994529103023032,2,0.4876922495539346,1,0,1,0,0,0,4,ms_graph,,d60c33e1-c026-4f42-a243-213222885d01,app,,,,,0,8075.0,Microsoft Limited,,1,2025-12-07 15:49:00.8726,1,,domains,read
3293,1,1,0,-0.6434078872509738,-2.0055224687623876,2,0.4868399587630364,1,0,1,0,0,0,5,ms_graph,,d60c33e1-c026-4f42-a243-213222885d01,app,,,,,0,8075.0,Microsoft Limited,,1,2025-12-07 15:49:00.8726,1,,organization,read
1759,1,1,0,-0.6427449024091848,-2.065088907600141,2,0.4855789256152948,1,0,1,0,0,0,6,ms_signin,user14,d60c33e1-c026-4f42-a243-213222885d01,app,,,,,0,10788.0,,US,1,2025-12-07 15:49:00.8726,0,,,
9384,1,0,1,-0.6419194080651764,-1.2024940679064464,2,0.4832093925936022,1,0,1,0,0,1,7,ms_signin,user4,4765445b-32c6-49b0-83e6-1d93765276ca,app,Chrome,143.0.0,Mac,,11,17488.0,HATHWAY CABLE AND DATACOM LIMITED,IN,1,2025-12-07 06:32:36.947092,1,mozilla/ macintosh intel mac os x applewebkit/ khtml like gecko chrome/ safari,,
15013,1,0,1,-0.6383625486174072,-1.0663632913674335,2,0.4760551755698109,1,0,1,0,0,1,8,ms_signin,user4,4765445b-32c6-49b0-83e6-1d93765276ca,app,Chrome,143.0.0,Mac,,11,17488.0,HATHWAY CABLE AND DATACOM LIMITED,IN,1,2025-12-07 06:06:25.924534,1,mozilla/ macintosh intel mac os x applewebkit/ khtml like gecko chrome/ safari,,
3703,1,0,1,-0.6382206372734562,-1.2252182212860314,2,0.47590993289058275,1,0,1,0,0,1,9,ms_signin,user4,4765445b-32c6-49b0-83e6-1d93765276ca,app,Chrome,143.0.0,Mac,,11,17488.0,HATHWAY CABLE AND DATACOM LIMITED,IN,1,2025-12-07 05:57:22.298394,1,mozilla/ macintosh intel mac os x applewebkit/ khtml like gecko chrome/ safari,,
12052,1,1,0,-0.6368347092447852,-2.6534472623665746,2,0.4743863595572105,1,0,0,0,0,0,10,ms_signin,user4,4765445b-32c6-49b0-83e6-1d93765276ca,app,Chrome,143.0.0,Mac,,11,17488.0,HATHWAY CABLE AND DATACOM LIMITED,IN,1,2025-12-07 05:21:31.806373,1,mozilla/ macintosh intel mac os x applewebkit/ khtml like gecko chrome/ safari,,
13702,1,0,1,-0.6370202627618207,-1.7720567470101685,2,0.4740013730699224,1,0,0,0,0,0,11,ms_signin,user4,4765445b-32c6-49b0-83e6-1d93765276ca,app,Chrome,143.0.0,Mac,,11,17488.0,HATHWAY CABLE AND DATACOM LIMITED,IN,1,2025-12-07 05:04:13.021888,1,mozilla/ macintosh intel mac os x applewebkit/ khtml like gecko chrome/ safari,,
12944,1,0,1,-0.6370996591071152,-1.3288928400245223,2,0.473780297009335,1,0,0,0,0,1,12,ms_signin,user4,4765445b-32c6-49b0-83e6-1d93765276ca,app,Chrome,143.0.0,Mac,,11,17488.0,HATHWAY CABLE AND DATACOM LIMITED,IN,1,2025-12-07 04:36:25.858558,1,mozilla/ macintosh intel mac os x applewebkit/ khtml like gecko chrome/ safari,,
13102,1,0,1,-0.6320644834655771,-1.6229849938229732,2,0.464068034484051,1,0,1,0,0,1,16,ms_signin,user4,4765445b-32c6-49b0-83e6-1d93765276ca,app,,,,,0,17488.0,HATHWAY CABLE AND DATACOM LIMITED,IN,4,2025-12-07 03:59:01.709959,1,,,
12948,1,0,1,-0.6320644834655771,-1.6216528758346629,2,0.4640668977040189,1,0,1,0,0,1,17,ms_signin,user4,4765445b-32c6-49b0-83e6-1d93765276ca,app,Chrome,143.0.0,Mac,,11,17488.0,HATHWAY CABLE AND DATACOM LIMITED,IN,1,2025-12-07 03:59:01.709959,1,mozilla/ macintosh intel mac os x applewebkit/ khtml like gecko chrome/ safari,,
