record_index,IF_anomaly,LOF_anomaly,DBSCAN_anomaly,IF_score,LOF_score,ensemble_votes,ensemble_score,ensemble_majority,ensemble_unanimous,is_critical_error,is_high_frequency,is_rare_operation,is_night_hours,original_index,log_type,wf_principal_id,app_id,atype,browser,browser_version,device_os,device_os_version,uatype,asn,isp,country,frequency,log_timestamp,error_status,normalized_user_agent,operation,rw
8302,1,1,1,-0.6388073692174315,-17.80891188894684,3,0.4912228227345914,1,1,1,0,0,0,2,ms_graph,,d60c33e1-c026-4f42-a243-213222885d01,app,,,,,0,8075.0,Microsoft Limited,,1,2025-12-07 20:50:59.738144,1,,domains,read
13820,1,1,1,-0.6279312922373593,-1.8722184464385658,3,0.456102270662488,1,1,0,0,0,0,26,ms_graph,user2,62ab86f5-fe17-43c6-aaa5-cd52060b5260,app,Chrome,143.0.0,Mac,,11,17762.0,Tata Teleservices (Maharashtra) Ltd,,6,2025-12-08 10:35:55.526979,0,mozilla/ macintosh intel mac os x applewebkit/ khtml like gecko chrome/ safari,serviceprincipals/*,read
7211,1,1,1,-0.6114489238558554,-2.172467509115584,3,0.42374441137495816,1,1,0,0,1,0,113,ms_graph,user7,74658136-14ec-4630-ad9b-26e160ff0fc6,app,,,,,0,8075.0,Microsoft Limited,,2,2025-12-08 07:42:12.955171,0,,serviceprincipals/*,read
12156,1,1,1,-0.6080904375882006,-2.5073504602641856,3,0.4173846660253034,1,1,0,0,0,0,127,ms_signin, user10,4b0964e4-58f1-47f4-a552-e2e1fc56dcd7,app,Edge,18.19045,Windows,10.0,11,7922.0,"Comcast Cable Communications, IP Services",US,2,2025-12-08 18:08:22.246613,1,mozilla/ windows nt applewebkit/ khtml like gecko chrome/ safari/ edge,,
6482,1,1,1,-0.6060109071574917,-2.8059152422662903,3,0.4135246304769424,1,1,0,0,0,0,151,ms_graph,user7,74658136-14ec-4630-ad9b-26e160ff0fc6,app,Firefox,146.0,Mac,10.15,11,147221.0,NIXI,,4,2025-12-08 07:42:12.955171,0,mozilla/ macintosh intel mac os x rv gecko/ firefox,$batch,write
1765,1,1,1,-0.6054865082924843,-2.08394255495815,3,0.4118708844460818,1,1,0,0,0,0,175,ms_graph,user11,6aa22f7e-b273-4c69-b0bb-889945b15ce9,app,Chrome,142.0.0,Mac,,11,147221.0,NIXI,,2,2025-12-08 07:42:12.955171,0,mozilla/ macintosh intel mac os x applewebkit/ khtml like gecko chrome/ safari,directoryobjects/*,read
6463,1,1,1,-0.6042416982474611,-3.9800539199009353,3,0.41102581825252216,1,1,1,0,0,0,181,ms_graph,user11,74658136-14ec-4630-ad9b-26e160ff0fc6,app,Chrome,142.0.0,Mac,,11,147221.0,NIXI,,1,2025-12-08 07:42:12.955171,0,mozilla/ macintosh intel mac os x applewebkit/ khtml like gecko chrome/ safari,$batch,write
9977,1,1,1,-0.6043495537222002,-1.9132565491035105,3,0.4094755064783078,1,1,0,0,0,0,195,ms_signin,user2,4354e225-50c9-4423-9ece-2d5afd904870,app,Node Fetch,1.0,,,7,17762.0,Tata Teleservices (Maharashtra) Ltd,IN,2,2025-12-08 05:39:53.96336,0,node-fetch/ https github.com/bitinn/node-fetch,,
6444,1,1,1,-0.6007345386014563,-4.114306657047844,3,0.4042006787397452,1,1,1,0,0,0,242,ms_signin,user2,bb893c22-978d-4cd4-a6f7-bb6cc0d6e6ce,app,,,,,0,17488.0,HATHWAY CABLE AND DATACOM LIMITED,IN,1,2025-12-08 05:39:53.96336,0,,,
3198,1,1,1,-0.6007604267450889,-3.7499845546510318,3,0.40394100531110794,1,1,0,1,0,0,244,ms_signin,user2,74658136-14ec-4630-ad9b-26e160ff0fc6,app,,,,,0,17762.0,Tata Teleservices (Maharashtra) Ltd,IN,1,2025-12-08 05:39:53.96336,0,,,
3138,1,1,1,-0.5990100660851048,-2.2386126484976674,3,0.3991877735734334,1,1,0,0,0,0,286,ms_graph,user2,5ec6fa7d-8684-401e-ace0-99563934eb3b,app,Kiota .NET Client,1.17.1,,,7,8075.0,Microsoft Limited,,1,2025-12-08 04:47:48.789399,0,kiota-dotnet,security/securescores,read
3146,1,1,1,-0.5990100660851048,-2.2386126484976674,3,0.3991877735734334,1,1,0,0,0,0,287,ms_graph,user2,74658136-14ec-4630-ad9b-26e160ff0fc6,app,Chrome,143.0.0,Mac,,11,17762.0,Tata Teleservices (Maharashtra) Ltd,,1,2025-12-08 04:47:48.789399,0,mozilla/ macintosh intel mac os x applewebkit/ khtml like gecko chrome/ safari,applications/$count,read
12076,1,1,1,-0.5983010917154526,-2.9734343165633623,3,0.3984119775211692,1,1,0,0,0,0,298,ms_signin,user7,74658136-14ec-4630-ad9b-26e160ff0fc6,app,,,,,0,147221.0,NIXI,IN,4,2025-12-08 06:14:50.946839,0,,,
7165,1,1,1,-0.5978101229566973,-1.8707035746409746,3,0.39649945570315986,1,1,0,0,1,0,322,ms_signin, user10,0dc2408a-bbc0-4238-871e-13b372f0200f,app,Edge,18.19045,Windows,10.0,11,7922.0,"Comcast Cable Communications, IP Services",US,1,2025-12-08 00:28:48.727784,1,mozilla/ windows nt applewebkit/ khtml like gecko chrome/ safari/ edge,,
